Year,Passenger cars,Buses ,Rail ,Air ,Other ,Total
1999-00,239.81,17,11.4,32.84,27.6,328.66
2000-01,237.16,17.26,11.98,35.68,27.89,329.98
2001-02,243.17,17.35,11.84,33.01,28.9,334.26
2002-03,249.45,17.69,11.84,35.83,29.73,344.54
2003-04,261.37,17.76,11.91,41.15,30.65,362.84
2004-05,262.06,17.84,11.86,45.9,30.89,368.55
2005-06,257.21,18.27,12.36,48.7,31.6,368.15
2006-07,260.42,18.53,12.97,53.01,32.82,377.77
2007-08,261.87,18.88,14.03,57.24,34.71,386.74
2008-09,260.7,19.24,14.77,58.63,36.02,389.36
2009-10,262.23,19.54,14.75,60.22,38.27,395.01
2010-11,264.86,19.93,14.97,64.56,39.35,403.67
2011-12,267.18,20.41,15.26,66.43,40.45,409.73
2012-13,269.62,20.78,15.22,69.67,41.55,416.85
2013-14,271.6,21.17,15.24,70.86,42.58,421.45
2014-15,275.02,21.3,15.67,70.13,43.67,425.8
2015-16,279.07,21.61,16.15,71.44,44.83,433.09
